filename,url,size
Corp_HouseOfCommons_V2.rds,https://dataverse.harvard.edu/api/access/datafile/:persistentId?persistentId=doi:10.7910/DVN/L4OAKN/W2SVMF,2.3 GB
Corp_Folketing_V2.rds,https://dataverse.harvard.edu/api/access/datafile/:persistentId?persistentId=doi:10.7910/DVN/L4OAKN/YKH4KG,727 MB
